first_name,second_name,id,element_type,team_code,now_cost,minutes
Andrew,Surman,41,3,91,4.3,1851
Steve,Mounie,188,4,38,5.5,1849
Benjamin,Chilwell,196,2,13,4.4,1848
Aaron,Ramsey,18,3,3,6.8,1844
Solomon,March,66,3,36,4.8,1838
Troy,Deeney,417,4,57,6.3,1836
André,Ayew,449,3,80,6.8,1834
Ashley,Williams,143,2,11,5.2,1830
Cuco,Martina,464,2,11,4.1,1830
Alex,Iwobi,21,3,3,5.1,1827
Daryl,Janmaat,404,2,57,4.8,1818
Laurent,Depoitre,187,4,38,5,1807
Jesse,Lingard,279,3,1,6,1807
Fraser,Forster,306,1,20,4.6,1800
Marcus,Rashford,284,4,1,7.3,1799
Christian,Atsu,300,3,4,4.8,1776
James,Milner,222,2,14,6,1759
Javier,Manquillo,477,2,4,4.2,1757
Ciaran,Clark,289,2,4,4.3,1745
Jeffrey,Schlupp,123,2,31,4.7,1742
Fabian,Delph,246,3,43,4.5,1740
Alex,Oxlade-Chamberlain,19,3,14,5.5,1718
Mario,Lemina,500,3,20,4.8,1715
Tammy,Abraham,374,4,80,5.4,1715
